time,vehicle x-position,vehicle y-position,vehicle z-position,velocity (m/s),revolutions per minute,roll (radians),pitch (radians),yaw (radians),water temperature (Celsius),velocity (m/s),rotation of the steering wheel,throttle,brake,clutch,airspeed,airflow speed,altitude,reverse,throttle,
0.012500000186265,-195.91657937167,-162.33031083207,119.53510784654,0.00021156718030469,637.3923788502,5.4883770644665e-05,-0.0061838012188673,2.1920545101166,87.594974855421,0.00021156718030469,0,0,0,1,0.00022898006500344,2.5071192352862e-05,119.53510912452,0,0,
0.17950000334531,-195.91657878032,-162.330312908,119.53510791493,0.00025252200266859,635.9142347645,5.3116818889976e-05,-0.0061837462708354,2.1920547485352,87.596699975012,0.00025252200266859,0,0,0,1,0.00024471014752112,5.1623146775289e-05,119.53511039946,0,0,
0.34650000650436,-195.91658154073,-162.33030824929,119.5351055555,0.00026727382303913,637.63059467362,4.7509092837572e-05,-0.0061832056380808,2.1920549869537,87.598436569454,0.00026727382303913,0,0,0,1,0.00022743728324393,6.2280985092208e-05,119.53510664726,0,0,
0.5090000089258,-195.91658269864,-162.33030724969,119.5351034927,0.00023476906049563,637.53867585596,4.4088112190366e-05,-0.0061838524416089,2.1920537948608,87.600179778138,0.00023476906049563,1.4052019888321e-11,0,0,1,0.00024248482435761,9.8870736651547e-05,119.53510535911,0,0,
0.68300001136959,-195.91658152101,-162.33031040661,119.53510496114,0.00021975765421475,639.98317759518,4.7803390771151e-05,-0.0061847767792642,2.1920530796051,87.602060160222,0.00021975765421475,0,0,0,1,0.00023968545006629,7.3019001357755e-05,119.53510295484,0,0,
0.85300001315773,-195.9165800081,-162.33031163852,119.53510917594,0.00011039495396391,632.77162223308,6.2145292758942e-05,-0.0061844838783145,2.1920540332794,87.603928705975,0.00011039495396391,0,0,0,1,0.00015064836888193,5.5935174332454e-05,119.53511014295,0,0,
1.0235000150278,-195.91658096648,-162.33031011502,119.53510569138,0.00019147741053121,631.46011430679,4.7850189730525e-05,-0.0061843902803957,2.1920552253723,87.605750955296,0.00019147741053121,0,0,0,1,0.00020558605825763,6.4759314142651e-05,119.53510775241,0,0,
1.193500016816,-195.91658186893,-162.3303082559,119.53510613621,0.00034142084762004,631.81757489369,4.6995468437672e-05,-0.0061833802610636,2.1920552253723,87.607541489292,0.00034142084762004,0,0,0,1,0.00024605868651363,6.2085483261421e-05,119.53510614715,0,0,
1.3635000186041,-195.91666977222,-162.33021736493,119.53490599562,0.0052720908810825,913.94010300062,-0.00053831445984542,-0.0061850361526012,2.1920526027679,87.609389851156,0.0052720908810825,6.4457441817135e-08,0.25500000268221,0,0,0.0033627778379778,0.0020601282399057,119.53503171535,0,0.25500000268221,
1.5345000205562,-195.91660601636,-162.33033489355,119.53442898666,0.00097848753876082,2425.1003527352,-0.0016232430934906,-0.0061938297003508,2.19202876091,87.616526095295,0.00097848753876082,7.6840577696367e-08,0.76800000853837,0,0,0.0029491727984804,0.0031709912864569,119.53453102691,0,0.76800000853837,
1.7060000225902,-195.91656617702,-162.33037745461,119.5344207521,0.00039789552188772,4474.38132746,-0.0018343485426158,-0.006197058595717,2.1920161247253,87.655263432352,0.00039789552188772,-1.5209245055595e-10,1,0,0,0.00061321860961944,0.0005691155108269,119.53443773231,0,1,
1.8805000251159,-195.91665526888,-162.33013540337,119.53488779645,0.007223708711361,5439.5405511169,-0.00011746725067496,-0.0061995671130717,2.1920990943909,87.781642808082,0.007223708711361,6.7691059570259e-07,0,0,0,0.0074901954638641,0.0054599297014091,119.53475096363,0,0,
2.0430000275373,-195.91653401837,-162.33028940648,119.53504838884,0.0016206826792365,5045.0876368187,0.00054003810510039,-0.0062021752819419,2.1920726299286,87.909921132663,0.0016206826792365,-5.534016067783e-09,0,0,0,0.0026220658190141,0.002291557679424,119.53505987072,0,0,
2.2165000298992,-195.91657027033,-162.33028480015,119.53514115388,0.00074393434144637,4551.022187358,0.00046452274546027,-0.0062065343372524,2.1920554637909,88.00801535419,0.00074393434144637,3.2402304683659e-10,0,0,0,0.00085481930656639,0.0007862115145652,119.53511116057,0,0,
2.3885000320151,-195.9165846448,-162.33029902007,119.53519919261,0.00016187872737763,4065.6041983974,0.00046111992560327,-0.0061972523108125,2.1920511722565,88.067654444619,0.00016187872737763,1.9838145724689e-11,0,0,0,0.0003539720557549,0.00036177572861461,119.53518787226,0,0,
2.5605000341311,-195.91658630547,-162.33030024398,119.53522196508,7.0986056400522e-05,3591.0985788042,0.00045410473830998,-0.0061885882169008,2.1920564174652,88.098804947623,7.0986056400522e-05,0,0,0,0,0.00020840116891325,0.00017640337306214,119.53521638424,0,0,
2.7320000361651,-195.91658578703,-162.33030054031,119.53522847107,0.00034445317688732,3124.2041631983,0.00044817151501775,-0.0061845942400396,2.1920630931854,88.10992994292,0.00034445317688732,1.6531788103907e-12,0,0,0,0.00015553746183581,8.2737668567035e-05,119.53522576009,0,0,
2.9025000380352,-195.91658480103,-162.33030074065,119.53523077406,0.00017384927824955,2668.0440640804,0.00044306879863143,-0.0061833919025958,2.1920683383942,88.107498521532,0.00017384927824955,1.6531788103907e-12,0,0,0,0.00015825739055934,5.4368874620202e-05,119.5352316882,0,0,
3.0735000399873,-195.91658432291,-162.33030093034,119.53523004717,0.00013509092506944,2221.1666130031,0.00043658446520567,-0.0061832503415644,2.19207072258,88.096206549403,0.00013509092506944,1.6531788103907e-12,0,0,0,0.00022223841390316,6.4004918512145e-05,119.53523250631,0,0,
